Aircraft Type,Manufactor,Register number,Airline,Delivered date,Status
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EP-CPD,Caspian Airlines,4 Oct 2014(17 Mar 2014),Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,S2-AEJ,TAC Airlines,Jun-13,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,HL7570,Korean Air Lines,31-Jan-96,Written Off
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N879GA,Allegiant Air,8-Sep-05,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N878GA,Allegiant Air,19-Jul-05,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EP-TAQ,ATA Airlines,Sep 2012(17 Mar 2010),Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N805WA,World Atlantic Airlines,Oct 2013(Jul 2013),Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EP-TAN,ATA Airlines,31 Dec 2012( 5 Dec 2009),Active
McDonnell Douglas MD-83(SF) (DC-9-83),McDonnell-Douglas,N979NS,Everts Air,13-Apr-18,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EC-LTV,Swiftair,2 Mar 2014(24 Oct 2012),Written Off
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,SU-BOY,AMC Aviation,18-Dec-02,Written Off
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,SU-BOZ,AMC Aviation,17-Dec-02,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N9630A,American Airlines,2-Dec-01,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,YV2971,Aserca Airlines,22-Nov-13,Stored
